[2026-06-06 19:39:36,242: INFO: networksecurity: data_validation: Data validation completed.]
[2026-06-06 19:39:36,242: INFO: networksecurity: main: Data Validation Completed]
[2026-06-06 19:39:36,242: INFO: networksecurity: main: data Transformation started]
[2026-06-06 19:39:36,242: INFO: networksecurity: data_transformation: Entered initiate_data_transformation method of DataTransformation class]
[2026-06-06 19:39:36,242: INFO: networksecurity: data_transformation: Starting data transformation]
[2026-06-06 19:39:36,342: INFO: networksecurity: data_transformation: Entered get_data_transformer_object method of Transformation class]
[2026-06-06 19:39:36,342: INFO: networksecurity: data_transformation: Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2026-06-06 19:39:36,342: INFO: networksecurity: data_transformation: Applying transformer object on training and testing dataframes]
[2026-06-06 19:43:02,968: INFO: networksecurity: main: Initiate the data ingestion]
[2026-06-06 19:43:02,978: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 19:43:02,993: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 19:43:03,557: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 19:43:03,595: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_19_43_02\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 19:43:03,813: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 19:43:03,813: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 19:43:04,033: INFO: networksecurity: main: Data Initiation Completed]
[2026-06-06 19:43:04,053: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 19:43:04,054: INFO: networksecurity: main: Initiate the data Validation]
[2026-06-06 19:43:04,205: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 19:43:04,216: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 19:43:04,223: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 19:43:04,229: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 19:43:04,233: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 19:43:04,235: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 19:43:04,473: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_19_43_02\data_validation\drift_report\report.yaml]
[2026-06-06 19:43:04,473: INFO: networksecurity: data_validation: Drift report saved at: artifacts\06_06_2026_19_43_02\data_validation\drift_report\report.yaml]
[2026-06-06 19:43:04,473: INFO: networksecurity: data_validation: No data drift detected.]
[2026-06-06 19:43:04,478: INFO: networksecurity: data_validation: Saving validated train and test files.]
[2026-06-06 19:43:04,763: INFO: networksecurity: data_validation: Data validation completed.]
[2026-06-06 19:43:04,763: INFO: networksecurity: main: Data Validation Completed]
[2026-06-06 19:43:04,763: INFO: networksecurity: main: data Transformation started]
[2026-06-06 19:43:04,763: INFO: networksecurity: data_transformation: Entered initiate_data_transformation method of DataTransformation class]
[2026-06-06 19:43:04,763: INFO: networksecurity: data_transformation: Starting data transformation]
[2026-06-06 19:43:04,944: INFO: networksecurity: data_transformation: Entered get_data_transformer_object method of Transformation class]
[2026-06-06 19:43:04,944: INFO: networksecurity: data_transformation: Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}]
[2026-06-06 19:43:04,944: INFO: networksecurity: data_transformation: Applying transformer object on training and testing dataframes]
[2026-06-06 19:43:05,033: INFO: networksecurity: main_utils: Entered the save_object method of MainUtils class]
[2026-06-06 19:43:05,038: INFO: networksecurity: main_utils: Exited the save_object method of MainUtils class]
[2026-06-06 19:43:05,038: INFO: networksecurity: data_transformation: Preprocessing object and transformed arrays saved successfully]
[2026-06-06 19:43:05,047: INFO: networksecurity: main: data Transformation completed]
[2026-06-06 19:46:20,118: INFO: networksecurity: main: Initiate the data ingestion]
[2026-06-06 19:46:20,118: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 19:46:20,118: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 19:46:20,505: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 19:46:20,505: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_19_46_20\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 19:46:20,777: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 19:46:20,778: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 19:46:21,073: INFO: networksecurity: main: Data Initiation Completed]
[2026-06-06 19:46:21,106: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 19:46:21,110: INFO: networksecurity: main: Initiate the data Validation]
[2026-06-06 19:46:21,301: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 19:46:21,301: INFO: networksecurity: data_validation: Dataframe columns count: 49]
